"Sr. No.","Property Name (Scheme Native)"
"250","Shaligram Prestige"
"251","Sujal Apartment"
"252","Shyaswa Sarovar"
"253","Shristi"
"254","Luxuriom Elite"
"255","Luxuriom Bellevue"
"256","Rameshwar Dream"
"257","Aurania"
"258","Ora"
"259","Rajyash Regius"
"260","Solace"
"261","Serene Heights"
"262","Spectra"
"263","Dharti Padmambica"
"264","Snehal Exotica"
"265","Aarav Elenza Infinium"
"266","Shruti Apartment"
"267","Serenity Shivam"
"268","Serenity Satyam"
"269","Saharsh"
"270","Elenza Arista"
"271","Amaryllis"
"272","The Altitude"
"273","The August"
"274","The Anamaya"
"275","Elenza Callista"
"276","Rashmi Nirvana"
"277","Rashmi Riesen"
"278","Trinity Sky"
"279","Rashmi Ombre"
"280","Rashmi Sky Scape"
"281","The Identity"
"282","Swastik Clairmont"
"283","Rashmi Connect"
"284","Rashmi Prime"
"285","Birdsong"
"286","Gamara Iconic"
"287","Praharsh Serena"
"288","Praharsh Bluebell"
"289","Green Fluorite"
"290","Sky 42"
"291","Sky Line"
"292","Skypark by Divine"
"293","Aadhvan Shine"
"294","Rhythm Aura"
"295","B Ethics"
"296","Mahadev Lavish"
"297","Arise Vibrant"
"298","Tremont Adleap"
"299","Swastik Reva"
"300","Sandalwood 26"
"301","Arcadia 111"
"302","Tremont Tower"
"303","Tremont Terra"
"304","Rajharsh Celestial"
"305","Rajyash Reanand"
"306","Rajyash Riyana"
"307","Rajyash Ridge"
"308","Arcus Aura"
"309","Sky Arise"
"310","Samhita"
"311","Serenity Status"
"312","Mount Brook & Lake"
"313","Alaya Belmonte"
"314","Azzaro"
"315","Ideal Iris"
"316","Ideal Imprint"
"317","Eliseo 2"
"318","Eliseo"
"319","Eliseo 3"
"320","Eliseo 4"
"321","Apricus"
"322","Ayaan"
"323","Riviera Aspire"
"324","The Gold Sky Villa"
"325","Binori Aristella"
"326","Oryn Armonia"
"327","The Indus"
"328","Arcelia"
"329","Aastha Avirat"
"330","Elenza Vibe"
"331","Swastik Promont"
"332","Veritas"
"333","Gamara Hills"
"334","Marvella"
"335","Kavisha Aer"
"336","Elenza Gradiant"
"337","Sky Elegance"
"338","Ikebana"
"339","Le Parque"
"340","Vertex Luxuria"
"341","Sky 97"
"342","Sarathya West"
"343","Riviera Majestica"
"344","Riviera Palacio"
"345","Green Abalone"
"346","Sapphire"
"347","North Sky"
"348","Shilp Reventa"
"349","Skyville"
"350","Maher Homes 5"
"351","Maher select"
"352","Orchid Gold"
"353","The Planet"
"354","The Galaxy"
"355","Sheladia Luxuria"
"356","Eklingji Satvam"
"357","Solo Bliss"
"358","Happy Uptown"
"359","Parkview 2"
"360","Portrait"
"361","Sheladia Trinary"
"362","Anthem"
"363","Aalay"
"364","Arkiton Luxe"
"365","Green Garnet"
"366","Shilp Serene"
"367","Sukirti 54"
"368","Sheladia Eris"
"369","SP Epitome"
"370","Giriraj Avinya"
"371","Shiv Vivanta"
"372","Sky Park"
"373","The Park"
"374","Swastik Varmine"
"375","Shantam Solitaire"
"376","Venus Deshna"
"377","Shikhar Kiaan"
"378","Province"
"379","Radiant Rays"
"380","Shyam Elegance"
"381","Harved avan"
"382","Sampad Adirath"
"383","Harved Supremo"
"384","Tulsi Paradise"
"385","Vrundavan Zion"
"386","Rythm Sky"
"387"," The Satyagrah landmark"
"388","Swastik harmony "
"389","Om Elegance"
